location,latitude,longitude,elevation,conditions,temperature,pressure,humidity,time
Melbourne,-37.814,144.96332,7,rain,12.5,1010.3,97,1560595673042
Amsterdam,52.379189,4.899431,13,sunny,30.5,998.4,96,1560595677042
Moscow,55.98,37.18,220,snow,-20,1114.1,83,1560595673042
Vancouver,49.246292,-123.116226,82,rain,-3,1014,27,1560595683042
Berlin,52.52,13.41,43,sunny,0,900.1,12,1560595673042
Stockholm,59.334591,18.063240,28,snow,-18,1002.8,79,1560595683042
Los Angeles,-118.442,34.0697,96,sunny,35,1110.3,84,1560595673042
Copenhagen,55.676098,12.568337,7,snow,-15,999.7,56,1560595683042
Milan,45.464270,9.189510,127,sunny,25,930.1,72,1560595679042
Seoul,37.57,126.98,38,sunny,23,994.8,33,1560595684042
London,51.509865,-0.118092,15,rain,14,997.6,45,1560595673042
Tokyo,35.69,139.69,44,sunny,17,1000.2,19,1560595699042
Paris,48.85,2.35,42,rain,16,1115.3,100,1560595691042
New York,40.71,-74.01,57,sunny,27,1018.3,22,1560595673042
